Country	Land Area(Km2)	Co2-Emissions	Population
Sri Lanka	65,610	23,362	21,803,000
Sudan	1,861,484	20,000	42,813,238
Suriname	163,820	1,738	581,372
Sweden	450,295	43,252	64.60%
Switzerland	41,277	34,477	68.30%
Syria	185,180	28,830	17,070,135
Tajikistan	144,100	5,310	9,321,018
Tanzania	947,300	11,973	58,005,463
Thailand	513,120	283,763	69,625,582
East Timor	14,874	495	3,500,000
Togo	56,785	000"	77.60%
Tonga	747	128	100,209
Trinidad and Tobago	5,128	43,868	1,394,973
Tunisia	163,610	29,937	11,694,719
Turkey	783,562	372,725	83,429,615
Turkmenistan	488,100	70,630	5,942,089
Tuvalu	26	11	11,646
Uganda	241,038	5,680	44,269,594
Ukraine	603,550	202,250	44,385,155
United Arab Emirates	83,600	206,324	9,770,529
United Kingdom	243,610	379,025	66,834,405
United States	9,833,517	5,006,302	328,239,523
Uruguay	176,215	6,766	3,461,734
Uzbekistan	447,400	91,811	33,580,650
Vanuatu	12,189	147	299,882
Venezuela	912,050	164,175	28,515,829
Vietnam	331,210	192,668	96,462,106
Yemen	527,968	10,609	29,161,922
Zambia	752,618	5,141	17,861,030
Zimbabwe	390,757	10,983	14,645,468
